pl_name;Nombre_etoile;Nombre_planete;Méthode ;Orbite;Rayon;Masse terrienne;Eccentricité;Insolation;pl_eqt;Inclinaison;Température_etoile;Masse_etoile;Luminosité;Distance
AF Lep b;1;1;Imaging;9060.00000000;;1366.66215;0.320000;;;98.000;6140.00;1.13;;26.8564000
AF Lep b;1;1;Imaging;7520.00000000;;1664.46737;0.470000;;1400;82.000;6100.00;1.20;;26.8564000
AU Mic b;1;3;Transit;8.46300040;4.190;;0.120000;;;89.180;;;;9.7221000
AU Mic b;1;3;Transit;8.46321000;;17.10000;;;;89.500;3700.00;0.50;-1.046;9.7221000
AU Mic b;1;3;Transit;8.46300000;4.070;17.00000;0.000000;;593;89.500;3700.00;0.50;;9.7221000
AU Mic b;1;3;Transit;;4.027;;;76.64;755;;3588.00;;;9.7221000
AU Mic b;1;3;Transit;8.46299910;;20.12000;0.186000;;;;;0.50;;9.7221000
AU Mic b;1;3;Transit;8.46308000;3.957;;0.005770;21.20;600;89.579;3678.00;0.51;-1.038;9.7221000
AU Mic b;1;3;Transit;8.46300000;;11.70000;0.040000;;;;3700.00;0.50;-1.046;9.7221000
AU Mic b;1;3;Transit;8.46321000;4.203;;0.100000;;;;3700.00;0.50;-1.046;9.7221000
AU Mic b;1;3;Transit;8.46314270;;10.20000;;;;;3665.00;0.60;-0.990;9.7221000
AU Mic b;1;3;Transit;8.46321000;;;0.000000;;;;;;;9.7221000
AU Mic c;1;3;Transit;18.85901900;3.240;13.60000;0.000000;;454;89.000;3700.00;0.50;;9.7221000
AU Mic c;1;3;Transit;18.85898200;2.790;;0.130000;;;89.390;;;;9.7221000
AU Mic c;1;3;Transit;18.85899100;;9.60000;;;;;;0.50;;9.7221000
AU Mic c;1;3;Transit;18.85882000;;14.20000;;;;;3665.00;0.60;-0.990;9.7221000
AU Mic c;1;3;Transit;18.85969000;2.522;;0.003380;7.30;459;89.227;3678.00;0.51;-1.038;9.7221000
AU Mic c;1;3;Transit;18.85901900;;22.20000;0.041000;;;;3700.00;0.50;-1.046;9.7221000
AU Mic d;1;3;Transit Timing Variations;12.73596000;;1.05300;0.003050;;;89.318;3678.00;0.51;-1.038;9.7221000
BD+03 2562 b;1;1;Radial Velocity;481.90000000;;;0.200000;;;;4095.00;1.14;2.700;1070.6300000
BD+14 4559 b;1;1;Radial Velocity;268.94000000;;;0.290000;;;;5008.00;0.86;-0.320;49.3520000
BD+14 4559 b;1;1;Radial Velocity;268.94000000;;;0.290000;;;;4864.00;0.49;;49.3520000
BD+15 2375 b;1;1;Radial Velocity;153.22000000;;;0.001000;;;;4649.00;1.08;1.570;768.0450000
BD+15 2940 b;1;1;Radial Velocity;137.48000000;;;0.260000;;;;4796.00;1.10;2.010;426.4200000
BD+20 2457 b;1;2;Radial Velocity;379.63000000;;;0.150000;;;;4137.00;2.80;3.170;1539.7100000
BD+20 2457 b;1;2;Radial Velocity;379.63000000;;;0.150000;;;;4259.00;10.83;;1539.7100000
BD+20 2457 c;1;2;Radial Velocity;621.99000000;;;0.180000;;;;4137.00;2.80;3.170;1539.7100000
BD+20 274 b;1;1;Radial Velocity;578.20000000;;;0.210000;;;;4296.00;0.80;1.960;1322.5100000
BD+20 594 b;1;1;Transit;41.68864400;2.355;;;;;89.526;5703.00;0.96;;179.4610000
BD+20 594 b;1;1;Transit;41.68550000;2.578;22.24810;0.000000;;;89.550;5766.00;1.67;;179.4610000
BD+20 594 b;1;1;Transit;41.68550000;2.230;16.30000;0.000000;;546;89.550;5766.00;0.96;-0.056;179.4610000
BD+45 564 b;1;1;Radial Velocity;307.88000000;;;0.120000;;;2.579;5004.00;0.81;;53.6220000
BD+48 738 b;1;1;Radial Velocity;392.60000000;;;0.200000;;;;4414.00;0.74;1.690;871.4930000
BD+48 740 b;1;1;Radial Velocity;733.00000000;;;0.760000;;;;4534.00;1.09;1.640;666.5890000
BD+49 828 b;1;1;Radial Velocity;2590.00000000;;;0.350000;;;;4943.00;1.52;1.470;442.0420000
BD+55 362 b;1;1;Radial Velocity;265.59000000;;;0.270000;;;0.601;5012.00;0.91;;52.5697000
BD+60 1417 b;1;1;Imaging;;14.684;4767.42610;;;1303;;4993.00;1.00;0.356;44.9543000
BD+63 1405 b;1;1;Radial Velocity;1230.00000000;;3305.41543;0.891000;;;23.500;5000.00;0.82;;38.0473000
BD+63 1405 b;1;1;Radial Velocity;1198.48000000;;;0.880000;;;5.974;5000.00;0.82;;38.0473000
BD-06 1339 b;1;2;Radial Velocity;3.87280000;;;0.000000;;;;4324.00;0.70;-1.022;20.2695000
BD-06 1339 c;1;2;Radial Velocity;125.94000000;;;0.310000;;;;4324.00;0.70;-1.022;20.2695000
BD-08 2823 b;1;2;Radial Velocity;5.60000000;;;0.150000;;;;4746.00;0.74;;41.3342000
BD-08 2823 b;1;2;Radial Velocity;5.60000000;;;0.150000;;;;4816.00;0.50;;41.3342000
BD-08 2823 c;1;2;Radial Velocity;237.60000000;;;0.190000;;;;4746.00;0.74;;41.3342000
BD-10 3166 b;1;1;Radial Velocity;3.48777000;;;0.019000;;;;5393.00;1.01;;84.4069000
BD-10 3166 b;1;1;Radial Velocity;3.48777000;;;0.020000;;;;5393.00;1.47;;84.4069000
BD-10 3166 b;1;1;Radial Velocity;3.48700000;;;0.050000;;;;5400.00;1.10;;84.4069000
BD-10 3166 b;1;1;Radial Velocity;3.48790500;;;0.022000;;;;5382.64;1.00;;84.4069000
BD-11 4672 b;1;2;Radial Velocity;1667.00000000;;;0.050000;;;;4475.00;0.57;;27.1665000
